transaction_type,transaction_amount,transaction_date,transaction_note,category,subcategory
Expense,884.28,2020-12-20 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Income,154.69,2019-12-03 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,244.36,2019-11-16 21:27:32.494381,Transaction for Clothing,Shopping,Clothing
Expense,432.93,2022-08-31 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Income,88.91,2020-10-20 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,839.09,2023-02-02 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,399.68,2023-07-09 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,856.25,2023-06-12 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,863.24,2022-06-22 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,475.5,2022-05-07 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Income,847.6,2020-12-23 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,712.76,2024-02-01 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,515.78,2019-09-20 21:27:32.494381,Transaction for Alimony,Family,Alimony
Income,623.9,2020-09-06 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,150.18,2020-07-25 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,27.2,2022-04-19 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,430.77,2020-12-27 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,819.81,2023-09-22 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Expense,522.83,2023-03-21 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Expense,828.2,2021-06-27 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Expense,470.2,2022-02-17 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,82.09,2019-06-10 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,410.48,2020-11-02 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Expense,18.95,2021-09-19 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Income,396.57,2019-12-24 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,255.88,2020-12-31 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,707.92,2020-01-21 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,656.15,2019-03-25 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,126.9,2020-12-15 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,426.74,2022-01-20 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Income,308.96,2019-11-04 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,970.47,2021-12-18 21:27:32.494381,Transaction for Books,Education,Books
Income,438.45,2022-11-15 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,221.8,2020-07-23 21:27:32.494381,Transaction for Supplies,Education,Supplies
Expense,295.4,2020-03-17 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Income,771.98,2020-11-26 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,484.29,2020-09-20 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,96.65,2019-09-07 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,88.95,2020-04-19 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,622.17,2022-07-11 21:27:32.494381,Transaction for Alimony,Family,Alimony
Income,521.96,2023-03-15 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,41.68,2021-06-15 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,91.6,2022-02-27 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Expense,56.06,2023-03-03 21:27:32.494381,Transaction for Phone,Bill & Utilities,Phone
Income,337.54,2023-01-05 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,444.15,2022-10-24 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,803.39,2019-05-28 21:27:32.494381,Transaction for Books,Education,Books
Expense,173.97,2021-07-09 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,319.47,2019-11-03 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,547.35,2021-08-03 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,732.17,2021-09-22 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,644.48,2023-03-12 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,42.21,2022-12-04 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,243.29,2022-04-05 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Expense,785.45,2023-03-24 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Income,447.76,2019-12-18 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,525.38,2022-12-26 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Expense,279.48,2020-04-06 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Income,42.38,2022-10-29 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,896.93,2020-09-02 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,664.83,2023-08-04 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,78.64,2022-10-27 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,441.71,2021-07-09 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,83.4,2020-09-26 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,880.85,2021-04-22 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,836.01,2023-03-24 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,437.05,2022-12-27 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,589.59,2023-06-17 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,247.8,2022-10-23 21:27:32.494381,Transaction for Books,Education,Books
Expense,275.81,2021-04-20 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,180.35,2020-07-19 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,395.38,2023-01-14 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Income,372.02,2022-06-19 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,416.17,2019-07-02 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,135.82,2020-10-14 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,834.96,2021-08-23 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,898.86,2020-09-07 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Income,315.49,2023-03-19 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,848.27,2020-09-19 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,169.68,2020-04-14 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Income,607.61,2019-05-09 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,136.86,2023-03-19 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,557.78,2021-07-05 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,145.23,2020-01-13 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,836.81,2020-10-03 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,265.96,2023-02-24 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Expense,756.04,2020-12-31 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,880.11,2022-05-08 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,394.15,2021-03-05 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Expense,417.44,2021-02-04 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Expense,396.65,2020-07-06 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,973.02,2020-06-23 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,573.03,2023-04-05 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,697.81,2021-01-12 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Income,415.64,2022-03-14 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,166.03,2022-11-13 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,41.71,2021-10-10 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,795.47,2020-01-06 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,18.59,2022-02-05 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,208.7,2019-05-09 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Income,654.55,2019-12-15 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,376.39,2020-09-25 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,447.2,2022-01-07 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,195.21,2022-05-06 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,816.36,2023-09-13 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Expense,325.43,2019-02-17 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,66.13,2019-03-10 21:27:32.494381,Transaction for Childcare,Family,Childcare
Income,362.76,2020-07-10 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,387.93,2020-02-26 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,773.85,2020-05-17 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,587.77,2020-06-05 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,547.53,2022-03-16 21:27:32.494381,Transaction for Child Support,Family,Child Support
Expense,660.91,2023-07-21 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,121.61,2021-04-09 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,41.39,2021-06-10 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,71.47,2022-01-16 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,613.19,2023-08-02 21:27:32.494381,Transaction for Supplies,Education,Supplies
Expense,135.29,2020-01-05 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Expense,161.23,2022-07-25 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Income,596.17,2022-01-31 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,868.44,2019-03-18 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Income,57.43,2019-12-06 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,117.52,2019-11-09 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Income,928.56,2019-10-20 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,279.16,2022-06-12 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Income,657.77,2022-04-23 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,248.53,2021-02-12 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,772.39,2023-10-07 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,463.34,2019-06-14 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,491.59,2022-11-28 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,685.91,2020-09-12 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,636.41,2023-02-23 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Income,860.28,2022-12-30 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,456.08,2022-01-02 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,60.3,2022-10-30 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,337.85,2019-04-08 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,688.9,2021-11-28 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,75.83,2023-01-20 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,835.8,2022-04-02 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Income,782.06,2021-06-29 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,887.95,2022-11-03 21:27:32.494381,Transaction for Supplies,Education,Supplies
Income,714.06,2020-04-24 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,448.54,2020-03-31 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,234.95,2022-04-05 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Expense,599.71,2019-02-11 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,995.66,2020-07-12 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,229.99,2023-08-20 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,399.22,2021-09-15 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,668.79,2021-10-21 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,907.51,2021-08-30 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,163.03,2023-05-31 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,377.62,2022-07-29 21:27:32.494381,Transaction for Childcare,Family,Childcare
Income,415.91,2021-05-07 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,394.61,2019-11-12 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Income,471.03,2020-12-18 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,747.62,2019-12-15 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,536.92,2021-06-02 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Expense,654.54,2022-07-04 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Expense,928.04,2019-07-01 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Income,271.65,2022-02-07 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,391.5,2019-06-10 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Income,230.61,2022-09-17 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,495.44,2021-01-15 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Expense,733.51,2022-08-28 21:27:32.494381,Transaction for Bonds,Investment,Bonds
Expense,676.49,2024-01-23 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,82.5,2023-03-01 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Income,362.96,2020-10-05 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,677.97,2022-02-08 21:27:32.494381,Transaction for Internet,Bill & Utilities,Internet
Income,902.77,2019-06-16 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,998.7,2021-08-16 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,754.16,2023-09-25 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,619.21,2021-04-02 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,707.93,2023-12-14 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Expense,366.92,2019-06-26 21:27:32.494381,Transaction for Phone,Bill & Utilities,Phone
Income,438.43,2020-01-01 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,953.55,2022-09-30 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,524.54,2021-11-21 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,840.09,2023-11-16 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,634.54,2022-09-10 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,473.75,2021-05-10 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,305.7,2023-08-12 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,918.37,2019-07-23 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,546.13,2019-04-07 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,616.3,2019-05-15 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,477.96,2019-09-13 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,314.93,2022-04-20 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,118.75,2021-03-14 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,445.61,2021-01-21 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,980.65,2019-10-20 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,720.3,2022-05-05 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,568.01,2020-08-06 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Income,67.69,2021-12-22 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,963.79,2019-10-19 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,733.68,2021-12-22 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,218.9,2021-10-14 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,130.84,2020-11-20 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Income,545.21,2023-07-24 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,38.35,2020-04-07 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,27.68,2022-11-02 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,77.84,2019-06-24 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,317.76,2022-02-06 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,69.39,2019-10-08 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Income,898.29,2023-04-27 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,871.56,2019-07-18 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,664.59,2019-08-08 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Income,141.68,2023-05-20 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,917.5,2020-05-27 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,47.78,2019-03-23 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,516.49,2022-12-27 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
